publicid,eventtype,datetime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2017p381416,,2017-05-22T02:58:57.135Z,2017-05-22T03:01:15.666Z,175.621795,-40.52454263,2.222640265,30.078125,M,,NonLinLoc,,automatic,nz3drx,38,38,19,0.1426958498,59.40659248,0.5485596631,0
2017p381355,,2017-05-22T02:26:15.518Z,2017-05-22T02:28:29.743Z,174.945007,-39.6112174,1.994989027,65.9375,M,,NonLinLoc,,automatic,nz3drx,17,17,6,0.6674849228,159.4514079,1.282916419,0
2017p381325,earthquake,2017-05-22T02:10:04.376Z,2017-05-22T02:16:37.044Z,173.7772217,-42.29239273,4.613278104,17.36730957,M,,LOCSAT,confirmed,manual,iasp91,36,27,21,0.6329830289,143.0381966,0.789594097,0
2017p381292,earthquake,2017-05-22T01:52:28.576Z,2017-05-22T02:00:32.031Z,175.3026729,-39.23100775,0.5904425656,10.390625,M,,NonLinLoc,confirmed,manual,nz3drx,15,9,2,0.06798297771,242.6158153,0.3913420356,0
2017p381247,,2017-05-22T01:28:31.978Z,2017-05-22T01:30:25.064Z,174.348439,-41.65005753,1.858076955,12.96875,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.1431751754,135.1629941,0.4302721755,0
2017p381186,,2017-05-22T00:56:19.028Z,2017-05-22T00:57:32.017Z,176.0917687,-39.18084427,1.474165054,49.53125,M,,NonLinLoc,,automatic,nz3drx,29,29,13,0.2971959762,62.84541131,0.4363989146,0
2017p381123,,2017-05-22T00:22:51.175Z,2017-05-22T00:31:43.165Z,176.2733028,-40.19313877,1.756290019,49.53125,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.1374864056,141.2714866,0.4258148319,0
2017p381110,earthquake,2017-05-22T00:15:37.828Z,2017-05-22T00:39:17.605Z,175.681942,-39.43929212,0.7440285576,16.953125,M,,NonLinLoc,confirmed,manual,nz3drx,13,8,4,0.06373506947,271.5389339,0.2700234504,0
2017p381109,,2017-05-22T00:14:52.095Z,2017-05-22T00:18:08.432Z,172.7782476,-43.50032231,2.82039246,11.09375,M,,NonLinLoc,,automatic,nz3drx,27,27,12,0.225728137,127.1428558,0.6894194813,0
2017p381076,,2017-05-21T23:57:49.823Z,2017-05-22T00:00:01.107Z,174.90819,-40.95102194,1.67922682,50.9375,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.08846603356,113.3991483,0.6753688525,0
2017p381071,,2017-05-21T23:54:54.315Z,2017-05-21T23:57:56.276Z,172.3239263,-43.60173004,2.774378418,10.859375,M,,NonLinLoc,,automatic,nz3drx,23,23,12,0.181933827,96.63119123,0.5760520288,0
2017p381067,,2017-05-21T23:52:54.070Z,2017-05-21T23:54:57.874Z,172.9217025,-42.63972725,2.268737536,16.71875,M,,NonLinLoc,,automatic,nz3drx,14,14,3,0.3380063293,101.9092066,0.52177202,0
2017p381010,,2017-05-21T23:22:11.102Z,2017-05-21T23:24:45.375Z,174.4235217,-41.68562632,2.551256137,10.15625,M,,NonLinLoc,,automatic,nz3drx,29,29,14,0.1702781264,167.9556674,1.048415907,0
2017p381001,earthquake,2017-05-21T23:17:39.778Z,2017-05-22T00:09:13.978Z,172.9334259,-42.6648407,3.481952539,12.77853775,M,,LOCSAT,confirmed,manual,iasp91,23,17,13,0.3114181161,105.041954,0.5047864062,0
2017p380984,,2017-05-21T23:08:29.124Z,2017-05-21T23:10:20.028Z,174.4348572,-41.6926317,1.912000476,10.15625,M,,NonLinLoc,,automatic,nz3drx,15,15,6,0.1755817614,144.1416653,0.644659933,0
2017p380952,,2017-05-21T22:51:20.481Z,2017-05-21T22:53:33.428Z,173.0073426,-42.02626467,2.262480939,74.375,M,,NonLinLoc,,automatic,nz3drx,15,15,7,0.2728965215,81.22528969,0.3631972553,0
2017p380879,earthquake,2017-05-21T22:12:28.078Z,2017-05-21T23:44:51.142Z,175.6962318,-38.92578892,1.321165929,6.2890625,M,,NonLinLoc,confirmed,manual,nz3drx,19,15,11,0.0509606553,134.8306044,0.1488632672,0
2017p380862,earthquake,2017-05-21T22:04:51.838Z,2017-05-21T22:14:36.747Z,176.0834961,-38.93772125,3.173408779,73.91230011,M,,LOCSAT,confirmed,manual,iasp91,44,37,29,0.2531167269,55.97454071,0.1577388241,0
2017p380844,,2017-05-21T21:53:51.850Z,2017-05-21T21:56:02.276Z,174.9460725,-40.09324246,2.055335741,30.78125,M,,NonLinLoc,,automatic,nz3drx,27,27,12,0.3388314471,138.2100357,0.3942115787,0
2017p380824,,2017-05-21T21:43:15.847Z,2017-05-21T21:45:16.495Z,174.9920928,-40.60328905,1.564965872,25.625,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.2511681599,183.8023147,0.6993591592,0
2017p380817,earthquake,2017-05-21T21:39:45.136Z,2017-05-22T00:30:55.925Z,175.9465306,-39.39980998,1.378323179,41.09375,M,,NonLinLoc,confirmed,manual,nz3drx,22,16,10,0.1247577487,159.8098346,0.4395677986,0
2017p380737,,2017-05-21T20:56:54.826Z,2017-05-21T20:59:21.917Z,173.7656129,-42.26033594,1.93946647,25.15625,M,,NonLinLoc,,automatic,nz3drx,15,15,4,0.229501446,174.747355,0.5385696181,0
2017p380682,earthquake,2017-05-21T20:26:35.888Z,2017-05-21T21:13:02.030Z,-178.7840729,-33.37882614,4.535713088,108.1503983,M,,LOCSAT,confirmed,manual,iasp91,20,14,9,4.80171299,347.4257507,0.652907391,0
2017p380652,,2017-05-21T20:11:24.040Z,2017-05-22T01:11:00.115Z,174.331515,-40.75873155,2.429746109,44.84375,M,,NonLinLoc,,automatic,nz3drx,46,46,18,0.3145453735,84.01172673,0.818204889,0
2017p380594,,2017-05-21T19:40:45.004Z,2017-05-21T19:43:20.353Z,168.4554818,-44.18299025,2.437356923,5.46875,M,,NonLinLoc,,automatic,nz3drx,11,11,5,0.2547769388,200.0563694,1.499346123,0
2017p380504,,2017-05-21T18:52:40.607Z,2017-05-21T18:54:47.997Z,174.2535308,-41.62391306,2.005125528,14.84375,M,,NonLinLoc,,automatic,nz3drx,13,13,7,0.130576527,119.2805523,0.2244881697,0
2017p380459,,2017-05-21T18:29:13.563Z,2017-05-21T21:21:51.231Z,175.9594185,-38.44829022,2.517066751,174.6875,M,,NonLinLoc,,automatic,nz3drx,72,72,32,0.2663450377,44.66109758,1.765998679,0
2017p380422,,2017-05-21T18:08:55.984Z,2017-05-21T18:11:11.753Z,176.0974667,-40.09701311,2.600958628,24.921875,M,,NonLinLoc,,automatic,nz3drx,61,61,37,0.1094853807,42.48808743,0.6302472068,0
2017p380417,,2017-05-21T18:06:32.812Z,2017-05-21T18:08:55.404Z,172.7467349,-41.37759088,2.299732032,126.875,M,,NonLinLoc,,automatic,nz3drx,12,12,2,0.5748693323,100.9080717,1.800434171,0
2017p380335,,2017-05-21T17:22:38.410Z,2017-05-21T17:24:41.223Z,170.085121,-44.54663302,2.632056248,5.46875,M,,NonLinLoc,,automatic,nz3drx,21,21,8,0.1721327022,64.41913168,1.141106838,0
2017p380289,,2017-05-21T16:58:26.340Z,2017-05-21T17:00:00.614Z,174.2435051,-40.40409944,1.979145413,73.4375,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.4708875998,99.67185833,0.8633734396,0
2017p380282,,2017-05-21T16:54:27.050Z,2017-05-21T21:14:17.480Z,174.3012622,-41.71873711,1.902405598,9.21875,M,,NonLinLoc,,automatic,nz3drx,17,17,7,0.07294483804,152.2695002,0.5145475328,0
2017p380254,,2017-05-21T16:39:22.990Z,2017-05-21T21:12:57.702Z,173.7224351,-42.37588565,2.134516934,12.03125,M,,NonLinLoc,,automatic,nz3drx,12,12,4,0.1415396047,180.9759334,0.6597628293,0
2017p380227,,2017-05-21T16:24:59.351Z,2017-05-21T16:26:23.736Z,173.6346396,-42.29991022,1.840711244,13.90625,M,,NonLinLoc,,automatic,nz3drx,10,10,3,0.1363013918,191.7752349,0.5913291289,0
2017p380212,,2017-05-21T16:17:17.597Z,2017-05-21T16:19:28.880Z,176.6855196,-39.35724685,1.947466221,94.0625,M,,NonLinLoc,,automatic,nz3drx,29,29,9,0.2372157511,159.1033554,1.355823028,0
2017p380178,,2017-05-21T15:59:17.661Z,2017-05-21T16:01:15.191Z,169.5053778,-44.3698338,2.399200796,14.84375,M,,NonLinLoc,,automatic,nz3drx,16,16,4,0.4859188993,73.65252881,1.07975772,0
2017p380169,earthquake,2017-05-21T15:54:38.755Z,2017-05-22T00:22:34.522Z,176.6160126,-37.88344955,1.904320277,78.79181671,M,,LOCSAT,confirmed,manual,iasp91,25,16,4,0.541595161,201.0847664,3.526288904,0
2017p380126,,2017-05-21T15:31:29.794Z,2017-05-21T15:32:59.504Z,173.6810851,-42.16442813,2.524508995,20.46875,M,,NonLinLoc,,automatic,nz3drx,10,10,1,0.2732921843,187.6100171,0.353692335,0
2017p380121,earthquake,2017-05-21T15:28:50.924Z,2017-05-22T00:25:14.437Z,176.3414612,-37.54146957,2.071325746,7.064751625,M,,LOCSAT,confirmed,manual,iasp91,16,11,7,0.1976634264,156.9724274,0.5259156373,0
2017p380023,,2017-05-21T14:36:16.393Z,2017-05-21T14:38:03.675Z,176.8939113,-39.86765653,2.13009623,19.296875,M,,NonLinLoc,,automatic,nz3drx,22,22,12,0.07252656631,180.9935534,0.4388482636,0
2017p380015,,2017-05-21T14:32:18.967Z,2017-05-21T14:34:20.591Z,171.8868948,-42.67322365,1.742742221,10.15625,M,,NonLinLoc,,automatic,nz3drx,12,12,3,0.3039267257,94.41159614,0.6974322213,0
2017p379946,,2017-05-21T13:55:24.700Z,2017-05-21T13:57:31.799Z,171.8681729,-42.67268177,2.256510224,10.15625,M,,NonLinLoc,,automatic,nz3drx,22,22,6,0.3151403636,95.74446037,1.130765216,0
2017p379941,,2017-05-21T13:52:46.959Z,2017-05-21T13:58:14.287Z,176.0061872,-38.94985101,2.023143601,109.0625,M,,NonLinLoc,,automatic,nz3drx,38,38,11,0.2915625147,83.8164331,1.384175076,0
